,class_index,avg_acc,multi_rate,count,acc_sum,multi_num
0,epoch_0,,,,,
1,-20,0.1,0.1,10,1.0,1
2,-19,0.5,0.2,10,5.0,2
3,-18,0.1,0.1,10,1.0,1
4,-17,0.1,0.1,10,1.0,1
5,-16,0.2,0.2,10,2.0,2
6,-15,0.1,0.1,10,1.0,1
7,-14,0.4,0.3,10,4.0,3
8,-13,0.1,0.1,10,1.0,1
9,-12,0.2,0.2,10,2.0,2
10,-11,0.0,0.0,10,0.0,0
11,-10,0.2,0.2,10,2.0,2
12,-9,0.0,0.0,10,0.0,0
13,-8,0.1,0.1,10,1.0,1
14,-7,0.4,0.2,10,4.0,2
15,-6,0.1,0.1,10,1.0,1
16,-5,0.1,0.1,10,1.0,1
17,-4,0.1,0.1,10,1.0,1
18,-3,0.0,0.0,10,0.0,0
19,-2,0.2,0.2,10,2.0,2
20,-1,0.2,0.2,10,2.0,2
21,epoch_1,,,,,
22,-20,0.1,0.1,10,1.0,1
23,-19,0.1,0.1,10,1.0,1
24,-18,0.2,0.1,10,2.0,1
25,-17,0.3,0.3,10,3.0,3
26,-16,0.1,0.1,10,1.0,1
27,-15,0.2,0.2,10,2.0,2
28,-14,0.0,0.0,10,0.0,0
29,-13,0.1,0.1,10,1.0,1
30,-12,0.2,0.2,10,2.0,2
31,-11,1.0,0.1,10,10.0,1
32,-10,0.2,0.2,10,2.0,2
33,-9,0.2,0.1,10,2.0,1
34,-8,0.4,0.1,10,4.0,1
35,-7,0.0,0.0,10,0.0,0
36,-6,0.1,0.1,10,1.0,1
37,-5,0.1,0.1,10,1.0,1
38,-4,0.1,0.0,10,1.0,0
39,-3,0.5,0.3,10,5.0,3
40,-2,0.1,0.1,10,1.0,1
41,-1,0.1,0.1,10,1.0,1
